condition,keywords,categories,cnt,topCategories,index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitKeyword >= 10 && limitCategorie >= 0,"[""gold"",""price"",""rise""]",[],274,"[[""/business and industrial/energy/oil/oil and gas prices"",95],[""/finance/investing/stocks"",81],[""/law, govt and politics/government"",55]]","[100716,10083,100942,102443,103923,105284,105287,105288,105305,105307,105315,105316,105317,105318,105319,105322,105323,105324,10578,107892,109112,11281,11714,1189,11919,12065,1286,12888,13195,1324,13374,1360,13665,14001,14170,14712,14842,14969,14981,15396,16152,17214,17300,17330,17721,18930,18990,19057,19130,19154,19371,19590,19595,19776,20297,20428,20458,20771,20896,21280,21373,21848,21962,22445,22451,22637,23873,24531,24539,24558,24799,25339,25522,26411,26936,26937,27210,28539,28691,29377,30269,3034,30594,30638,30757,3092,3224,32558,32586,32889,33252,33463,33616,34617,34970,35093,35291,35472,35601,35744,35924,367,36984,37015,37755,38063,38342,38346,3847,39023,39567,40407,40473,42371,42781,42869,43003,440,44089,44519,44563,44697,45082,45374,46005,4633,46332,46438,46472,46521,4670,47328,47610,47700,47707,47714,47721,48574,48660,48765,48842,49006,49381,50256,50740,50980,51551,51566,51592,52357,52382,52668,52803,53758,54605,5484,54924,54968,55208,55245,570,57350,57385,57460,58217,58467,58558,59212,60351,60766,61475,61486,6149,61784,61793,62213,63126,64210,64894,64986,65195,65213,65220,6544,65727,65743,66458,66790,67184,67326,67521,67676,67904,68199,68548,68721,69268,69896,69920,69966,70387,7166,71773,72187,73464,74152,74172,74646,74777,76569,76586,77634,7790,78804,79769,80675,80709,80897,81751,81892,81953,82304,8271,82858,82877,83057,83059,83128,83365,83402,83526,83573,83899,83910,84033,84050,84253,84286,84313,84427,84491,84765,84807,84945,85005,85101,85390,85736,85835,8595,86060,86494,87352,87495,87922,89751,8997,92815,93079,93209,9355,93785,94101,94519,94914,95018,95049,952,95277,95745,96296,96536,97746,97984]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitKeyword >= 20 && limitCategorie >= 0,"[""gold"",""price"",""rise""]",[],107,"[[""/business and industrial/energy/oil/oil and gas prices"",46],[""/finance/investing/stocks"",39],[""/law, govt and politics/government"",21]]","[10083,105307,105315,105316,105319,105322,105324,12888,13195,13665,14170,14969,16152,17330,19590,19595,20297,21280,21373,22451,26936,27210,28691,3034,30594,3092,3224,32889,33252,33616,34617,34970,35472,35744,367,37015,37755,38346,39023,40473,42869,43003,44563,45082,45374,4633,4670,47328,47700,47707,47721,48574,49006,50256,50740,50980,52357,52382,52668,52803,53758,5484,54924,54968,55208,570,57460,59212,61475,61486,6149,63126,64986,65220,6544,65727,65743,66790,67184,67326,67521,74152,74172,74646,78804,80675,80709,81751,82877,83057,83402,83899,83910,84033,84253,84286,84313,84765,85736,85835,8595,86060,87352,8997,93079,93209,93785]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitKeyword >= 35,"[""gold"",""price"",""rise""]",[],22,"[[""/business and industrial/energy/oil/oil and gas prices"",12],[""/finance/investing/stocks"",11],[""/business and industrial"",5]]","[3224,10083,13195,17330,19590,20297,34970,35472,39023,43003,44563,50740,52668,53758,59212,64986,65743,66790,82877,84313,86060,105315]",3224,10083,13195,17330,19590,20297,34970,35472,39023,43003,44563,50740,52668,53758,59212,64986,65743,66790,82877,84313,86060,105315,,,,,,,,,,,,,,,,,,
,,,,,14 of 22,x,o,o,o,o,o,x,o,o,o,x,o,x,o,o,o,x,x,x,o,o,x,,,,,,,,,,,,,,,,,,
limitKeyword >= 22 && limitCategorie >= 2,"[""gold"",""price"",""rise""]","[""/business and industrial/energy/oil/oil and gas prices"",""/finance/investing/stocks"",""/law, govt and politics/government""]",22,"[[""/finance/investing/stocks"",18],[""/business and industrial/energy/oil/oil and gas prices"",17],[""/law, govt and politics/government"",7]]","[10083,22451,28691,33252,35472,38346,43003,44563,47700,50256,52357,57460,59212,61486,64986,66790,67326,80709,84253,84313,87352,93079]",10083,22451,28691,33252,35472,38346,43003,44563,47700,50256,52357,57460,59212,61486,64986,66790,67326,80709,84253,84313,87352,93079,,,,,,,,,,,,,,,,,,
,,,,,11 of 22,o,x,x,o,o,o,o,x,o,x,o,o,o,x,o,x,x,x,x,o,x,x,,,,,,,,,,,,,,,,,,
,,,,공통기사,"[ 10083, 35472, 43003, 44563, 59212, 64986, 66790, 84313 ]",10083,35472,43003,44563,59212,64986,66790,84313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6 of 8,o,o,o,x,o,o,x,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5번,"[3224,13195,17330,19590,20297,34970,39023,50740,52668,53758,65743,82877,86060,105315]",3224,13195,17330,19590,20297,34970,39023,50740,52668,53758,65743,82877,86060,105315,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8 of 14,x,o,o,o,o,x,o,o,x,o,x,x,o,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7번,"[22451,28691,33252,38346,47700,50256,52357,57460,61486,67326,80709,84253,87352,93079]",22451,28691,33252,38346,47700,50256,52357,57460,61486,67326,80709,84253,87352,93079,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5 of 14,x,x,o,o,o,x,o,o,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitKeyword >= 25 && limitCategorie >= 0,"[""gold"",""price"",""rise""]","[""/business and industrial/energy/oil/oil and gas prices"",""/finance/investing/stocks"",""/law, govt and politics/government""]",59,"[[""/business and industrial/energy/oil/oil and gas prices"",28],[""/finance/investing/stocks"",26],[""/law, govt and politics/government"",12]]","[367,3092,3224,6149,6544,8997,10083,13195,13665,17330,19590,20297,21280,21373,22451,26936,27210,30594,33252,33616,34970,35472,35744,38346,39023,40473,43003,44563,47700,49006,50256,50740,50980,52357,52668,53758,55208,57460,59212,61475,61486,63126,64986,65220,65727,65743,66790,67326,82877,84253,84286,84313,86060,93079,93785,105307,105315,105316,105319]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33 of 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,공통기사,"[10083,22451,33252,35472,38346,43003,44563,47700,50256,52357,57460,59212,61486,64986,66790,67326,84253,84313,93079]",10083,22451,33252,35472,38346,43003,44563,47700,50256,52357,57460,59212,61486,64986,66790,67326,84253,84313,93079,,,,,,,,,,,,,,,,,,,,,
,,,,,11 of 19,o,x,o,o,o,o,x,o,x,o,o,o,x,o,x,x,x,o,x,,,,,,,,,,,,,,,,,,,,,
,,,,17번,"[367,3092,3224,6149,6544,8997,13195,13665,17330,19590,20297,21280,21373,26936,27210,30594,33616,34970,35744,39023,40473,49006,50740,50980,52668,53758,55208,61475,63126,65220,65727,65743,82877,84286,86060,93785,105307,105315,105316,105319]",367,3092,3224,6149,6544,8997,13195,13665,17330,19590,20297,21280,21373,26936,27210,30594,33616,34970,35744,39023,40473,49006,50740,50980,52668,53758,55208,61475,63126,65220,65727,65743,82877,84286,86060,93785,105307,105315,105316,105319
,,,,,22 of 40 ,o,o,x,o,o,x,o,o,o,o,o,o,o,x,x,x,o,x,x,o,x,x,o,o,x,o,o,o,x,o,o,x,x,x,o,o,x,x,x,x
,,,,7번,"[28691,80709,87352]",28691,80709,87352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 of 3,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitKeyword >= 22 && limitCategorie >= 0,"[""gold"",""price"",""rise""]","[""/business and industrial/energy/oil/oil and gas prices"",""/finance/investing/stocks"",""/law, govt and politics/government""]",86,"[[""/business and industrial/energy/oil/oil and gas prices"",38],[""/finance/investing/stocks"",34],[""/law, govt and politics/government"",16]]","[367,570,3034,3092,3224,4633,5484,6149,6544,8997,10083,12888,13195,13665,14969,16152,17330,19590,19595,20297,21280,21373,22451,26936,27210,28691,30594,32889,33252,33616,34970,35472,35744,37755,38346,39023,40473,42869,43003,44563,45082,45374,47700,47707,47721,49006,50256,50740,50980,52357,52382,52668,53758,54924,54968,55208,57460,59212,61475,61486,63126,64986,65220,65727,65743,66790,67326,67521,74152,74646,80709,81751,82877,83402,84033,84253,84286,84313,86060,87352,93079,93785,105307,105315,105316,105319]",11 of 11,22 of 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitKeyword >= 40 && limitCategorie >= 0,"[""gold"",""price"",""rise""]",[],10,"[[""/finance/investing/stocks"",6],[""/business and industrial/energy/oil/oil and gas prices"",6],[""/business and industrial"",4]]",,10083,13195,17330,19590,35472,44563,50740,53758,64986,66790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8 of 10,o,o,o,o,o,x(하락),o,o,o,x(하락),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitKeyword >= 32 && limitCategorie >= 2,"[""gold"",""price"",""rise""]","[""/business and industrial/energy/oil/oil and gas prices"",""/finance/investing/stocks"",""/law, govt and politics/government""]",11,"[[""/finance/investing/stocks"",10],[""/business and industrial/energy/oil/oil and gas prices"",9],[""/business and industrial"",3]]",,10083,33252,35472,38346,43003,44563,52357,59212,64986,66790,84313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9 of 11,o,o,o,o,o,x(하락),o,o,o,x(하락),o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,공통기사,"[10083, 35472, 44563, 64986, 66790]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
